DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,All_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2024-03-16 17:00:00,47.88071210084081,2.6600395611578227,0.0,45.22067253968299,0.14406747833495892,0.0038063737387485164,70.49
2024-03-16 18:00:00,45.33399049503662,2.5185550275020345,0.0,42.815435467534584,0.11944444444444446,0.003603916970356672,72.0
2024-03-16 19:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,72.0
2024-03-16 20:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,72.0
2024-03-16 21:00:00,51.24277043559536,2.8468205797552977,0.0,48.39594985584006,0.16883169934640524,0.004073647344174396,69.0
2024-03-16 22:00:00,53.29481064801274,2.9608228137784853,0.0,50.33398783423426,0.18529411764705883,0.004236778417892581,17.0
2024-03-16 23:00:00,62.362488249808315,3.4645826805449063,0.0,58.89790556926341,0.2507759155803848,0.004957631729811195,16.11
2024-03-17 00:00:00,62.362488249808315,3.4645826805449063,0.0,58.89790556926341,0.2507759155803848,0.004957631729811195,16.11
2024-03-17 01:00:00,53.29481064801274,2.9608228137784853,0.0,50.33398783423426,0.18529411764705883,0.004236778417892581,17.0
2024-03-17 02:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,18.0
2024-03-17 03:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-17 04:00:00,0.0,0.0,0.0,0.0,-0.003998673937660124,0.0,80.94
2024-03-17 05:00:00,0.0,0.0,0.0,0.0,0.02078885279741738,0.0,79.0
2024-03-17 06:00:00,46.24546359606531,2.569192422003628,0.0,43.67627117406168,0.18521413288722105,0.003676376362105575,68.27
2024-03-17 07:00:00,54.71872157365314,3.039928976314063,0.0,51.678792597339076,0.22639947602722393,0.004349975087613362,65.86999999999999
2024-03-17 08:00:00,30.008682688255828,1.6671490382364347,0.0,28.341533650019393,0.11114667565139263,0.002385600729547387,72.55
2024-03-17 09:00:00,40.934862753710746,2.274159041872819,0.0,38.660703711837925,0.1193072912412535,0.003254199441663341,72.03999999999999
2024-03-17 10:00:00,48.54941955205088,2.6971899751139374,0.0,45.85222957693694,0.15208690680388792,0.0038595339857354603,69.96
2024-03-17 11:00:00,52.23213322236898,2.9017851790204987,0.0,49.33034804334848,0.1769923149362661,0.004152298733521716,68.49
2024-03-17 12:00:00,56.66349748251707,3.1479720823620596,0.0,53.51552540015501,0.20177644213670953,0.0045045789692695105,67.08
2024-03-17 13:00:00,64.03030329183653,3.557239071768696,0.0,60.47306422006783,0.26751670221339185,0.005090218048989069,63.599999999999994
2024-03-17 14:00:00,91.00299936080769,5.055722186711538,0.0,85.94727717409616,0.40771798426918443,0.007234466901511341,57.47
2024-03-17 15:00:00,128.97603111115416,7.1653350617307865,0.0,121.81069604942337,0.6052095618949334,0.010253209616339179,50.29
2024-03-17 16:00:00,118.26973857796553,6.570541032109196,0.0,111.69919754585632,0.5886167757735599,0.009402091306906748,50.84
2024-03-17 17:00:00,76.97427269943813,4.276348483302118,0.0,72.69792421613602,0.325379366644763,0.006119224992839298,61.03
2024-03-17 18:00:00,51.6734847551965,2.870749153066472,0.0,48.80273560213002,0.15222809392481979,0.004107887847356134,69.97999999999999
2024-03-17 19:00:00,37.12758435454067,2.0626435752522596,0.0,35.06494077928841,0.11944444444444446,0.0029515321696272816,72.0
2024-03-17 20:00:00,8.453746837189355,0.46965260206607523,0.0,7.98409423512328,0.07815760017593515,0.0006720476480662204,74.77
2024-03-17 21:00:00,0.0,0.0,0.0,0.0,0.07815760017593515,0.0,74.77
2024-03-17 22:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-17 23:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,18.0
2024-03-18 00:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,19.12
2024-03-18 01:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,20.4
2024-03-18 02:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-18 03:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,20.4
2024-03-18 04:00:00,0.0,0.0,0.0,0.0,-0.003998673937660124,0.0,80.94
2024-03-18 05:00:00,41.708538109197235,2.317141006066513,0.0,39.39139710313072,0.15237752099108404,0.003315704323822121,70.14999999999999
2024-03-18 06:00:00,67.31036081269909,3.7394644895943934,0.0,63.57089632310469,0.2922550831328396,0.00535097283439621,62.39999999999999
2024-03-18 07:00:00,72.1721964176143,4.0095664676452385,0.0,68.16262994996906,0.31699346405228734,0.00573747425755146,61.2
2024-03-18 08:00:00,76.51416875557575,4.250787153087542,0.0,72.26338160248821,0.3414720766627704,0.006082648102225727,60.089999999999996
2024-03-18 09:00:00,82.1568896323931,4.564271646244061,0.0,77.59261798614904,0.37464194610309093,0.006531227574380829,58.64
2024-03-18 10:00:00,79.28868610695956,4.404927005942198,0.0,74.88375910101736,0.3579683915007624,0.006303213952661857,59.36
2024-03-18 11:00:00,73.83333757824167,4.101852087680093,0.0,69.73148549056157,0.32515300158911503,0.005869530023072441,60.830000000000005
2024-03-18 12:00:00,71.53074527369367,3.973930292982981,0.0,67.55681498071068,0.30880947025081523,0.0056864808056627855,61.59
2024-03-18 13:00:00,72.1721964176143,4.0095664676452385,0.0,68.16262994996906,0.31699346405228734,0.00573747425755146,61.2
2024-03-18 14:00:00,74.50354537257519,4.139085854031955,0.0,70.36445951854323,0.32515300158911503,0.005922809542860763,60.830000000000005
2024-03-18 15:00:00,79.33552919398443,4.407529399665801,0.0,74.92799979431862,0.3579683915007624,0.006306937838303278,59.36
2024-03-18 16:00:00,81.79836419171392,4.544353566206328,0.0,77.25401062550759,0.3829787234042552,0.006502725871665957,58.28
2024-03-18 17:00:00,74.95204887589856,4.1640027153276975,0.0,70.78804616057086,0.3333125391259427,0.005958464233066525,60.46
2024-03-18 18:00:00,65.91809332235394,3.66211629568633,0.0,62.25597702666761,0.2758870955298954,0.005240291723359225,63.18
2024-03-18 19:00:00,55.13816865621236,3.0632315920117974,0.0,52.07493706420056,0.1934746394259168,0.0043833198790710496,67.57
2024-03-18 20:00:00,13.070446829875916,0.7261359349931064,0.0,12.34431089488281,0.09461598455884784,0.001039061521519744,73.71
2024-03-18 21:00:00,0.0,0.0,0.0,0.0,0.06988252948710594,0.0,75.39
2024-03-18 22:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-18 23:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,18.0
2024-03-19 00:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,19.12
2024-03-19 01:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,20.4
2024-03-19 02:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-19 03:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-19 04:00:00,0.0,0.0,0.0,0.0,-0.036831498002044466,0.0,83.7
2024-03-19 05:00:00,37.35905442992454,2.0755030238846968,0.0,35.28355140603984,0.11942135603842213,0.0029699333499270163,72.63
2024-03-19 06:00:00,97.01452946688967,5.38969608149387,0.0,91.6248333853958,0.48175165127327096,0.0077123656068876275,54.53
2024-03-19 07:00:00,99.15673914145802,5.508707730081,0.0,93.64803141137702,0.4982674714021421,0.007882664883786368,53.88
2024-03-19 08:00:00,80.15023738142621,4.452790965634789,0.0,75.69744641579142,0.3498088539639347,0.0063717047081629135,59.73
2024-03-19 09:00:00,73.20092965262702,4.066718314034834,0.0,69.1342113385922,0.30880947025081523,0.005819255480054654,61.59
2024-03-19 10:00:00,67.92909072967606,3.773838373870892,0.0,64.15525235580517,0.31699346405228734,0.0054001600165416875,61.2
2024-03-19 11:00:00,70.97164490294178,3.942869161274543,0.0,67.02877574166723,0.2739666889483064,0.005642033994511094,63.50000000000001
2024-03-19 12:00:00,66.76965590540033,3.7094253280777956,0.0,63.06023057732253,0.2840710893313675,0.005307988407698047,62.78999999999999
2024-03-19 13:00:00,69.66612488792155,3.870340271551197,0.0,65.79578461637036,0.2840710893313675,0.005538249048913005,62.78999999999999
2024-03-19 14:00:00,81.94624411732298,4.552569117629054,0.0,77.39367499969391,0.3580697950383803,0.0065144818844867555,59.39
2024-03-19 15:00:00,109.73567666348023,6.096426481304457,0.0,103.63925018217577,0.5311666113813945,0.008723658849851039,52.67
2024-03-19 16:00:00,119.37287662755766,6.631826479308758,0.0,112.7410501482489,0.5886481173734504,0.009489787490149355,50.75
2024-03-19 17:00:00,91.74013344671985,5.096674080373325,0.0,86.64345936634652,0.41582355916562425,0.007293066861775992,56.99
2024-03-19 18:00:00,69.33161655559994,3.8517564753111073,0.0,65.47986008028883,0.2922550831328396,0.005511656634646901,62.39999999999999
2024-03-19 19:00:00,56.2559022974055,3.1253279054114165,0.0,53.13057439199408,0.20177644213670953,0.004472176368293536,67.08
2024-03-19 20:00:00,13.336116186286855,0.740895343682603,0.0,12.59522084260425,0.09461598455884784,0.0010601814426124605,73.71
2024-03-19 21:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,76.48
2024-03-19 22:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,19.12
2024-03-19 23:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-20 00:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,18.0
2024-03-20 01:00:00,0.0,0.0,0.0,0.0,0.020770010131712313,0.0,19.74
2024-03-20 02:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-20 03:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-20 04:00:00,0.0,0.0,0.0,0.0,-0.036831498002044466,0.0,83.7
2024-03-20 05:00:00,37.35905442992454,2.0755030238846968,0.0,35.28355140603984,0.12767758406154628,0.0029699333499270163,71.97
2024-03-20 06:00:00,93.22263629264671,5.179035349591484,0.0,88.04360094305522,0.45705947644604095,0.007410921414324654,55.42
2024-03-20 07:00:00,97.8927747500437,5.438487486113538,0.0,92.45428726393015,0.4982674714021421,0.007782183486265377,53.88
2024-03-20 08:00:00,74.36667252310411,4.131481806839117,0.0,70.235190716265,0.3167581520079671,0.005911928559748456,61.27
2024-03-20 09:00:00,61.077426670269745,3.393190370570541,0.0,57.6842362996992,0.22638805386486638,0.004855473168787112,65.72999999999999
2024-03-20 10:00:00,61.496547341555484,3.416474852308638,0.0,58.080072489246845,0.24264662834187867,0.004888792011522549,64.87
2024-03-20 11:00:00,60.630606433302646,3.368367024072369,0.0,57.262239409230276,0.23451734110337252,0.004819952293233903,65.3
2024-03-20 12:00:00,62.7224739212983,3.4845818845165724,0.0,59.23789203678173,0.2507759155803848,0.004986249516518281,64.44
2024-03-20 13:00:00,70.31587506702745,3.906437503723747,0.0,66.4094375633037,0.3006254764493431,0.005589902249335067,61.980000000000004
2024-03-20 14:00:00,85.49602879986371,4.7497793777702055,0.0,80.7462494220935,0.3827100206611432,0.006796679174397101,58.34
2024-03-20 15:00:00,116.31793741600141,6.4621076342223,0.0,109.85582978177911,0.5557298710116552,0.009246928938592087,51.86
2024-03-20 16:00:00,123.8519012766451,6.880661182035838,0.0,116.97124009460926,0.6050660135951897,0.00984585658460199,50.22
2024-03-20 17:00:00,92.62137413912001,5.145631896617778,0.0,87.47574224250222,0.424178545897159,0.007363122867250681,56.69
2024-03-20 18:00:00,66.5662193211409,3.698123295618939,0.0,62.868096025521965,0.2675714087763578,0.005291815806292392,63.64
2024-03-20 19:00:00,54.49985457716867,3.0277696987315927,0.0,51.47208487843707,0.19353527989188418,0.004332575814479272,67.53999999999999
2024-03-20 20:00:00,29.965526979970953,1.6647514988872751,0.0,28.300775481083676,0.1193072912412535,0.00238216997951287,72.03999999999999
2024-03-20 21:00:00,5.635831224792903,0.31310173471071684,0.0,5.322729490082186,0.07815760017593515,0.00044803176537748025,74.77
2024-03-20 22:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-20 23:00:00,49.04410094543769,2.7246722747465384,0.0,46.31942867069115,0.15208690680388792,0.00389885968040912,17.49
2024-03-21 00:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-21 01:00:00,0.0,0.0,0.0,0.0,0.020770010131712313,0.0,19.74
2024-03-21 02:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-21 03:00:00,0.0,0.0,0.0,0.0,-0.04502369668246453,0.0,21.1
2024-03-21 04:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,81.6
2024-03-21 05:00:00,38.29633404024977,2.127574113347209,0.0,36.16875992690256,0.1360479773780498,0.003044444282159868,71.55
2024-03-21 06:00:00,89.75647251709857,4.986470695394365,0.0,84.7700018217042,0.4487985353715953,0.007135371737000283,55.760000000000005
2024-03-21 07:00:00,92.0167842314351,5.1120435684130605,0.0,86.90474066302204,0.45705802382229055,0.0073150597736509546,55.38
2024-03-21 08:00:00,71.8656756690562,3.9925375371697887,0.0,67.8731381318864,0.3004146206696673,0.005713106772681229,62.029999999999994
2024-03-21 09:00:00,60.75670109830942,3.375372283239412,0.0,57.381328815070006,0.22638805386486638,0.004829976442842775,65.72999999999999
2024-03-21 10:00:00,58.89872461679697,3.2721513675998315,0.0,55.626573249197136,0.21825876662636023,0.004682272856656612,66.16
2024-03-21 11:00:00,61.49654734155548,3.4164748523086375,0.0,58.08007248924684,0.2507759155803848,0.004888792011522549,64.44
2024-03-21 12:00:00,61.496547341555484,3.416474852308638,0.0,58.080072489246845,0.24264662834187867,0.00488879201152255,64.87
2024-03-21 13:00:00,68.89092155666614,3.8272734198147855,0.0,65.06364813685136,0.27570069601486397,0.005476622697239987,63.209999999999994
2024-03-21 14:00:00,86.50318370049358,4.805732427805198,0.0,81.69745127268838,0.39104679796230746,0.006876744983705357,57.980000000000004
2024-03-21 15:00:00,116.74519793889678,6.485844329938709,0.0,110.25935360895807,0.5640848577431898,0.009280894875241644,51.56
2024-03-21 16:00:00,123.8519012766451,6.880661182035838,0.0,116.97124009460926,0.6050660135951897,0.00984585658460199,50.22
2024-03-21 17:00:00,91.65919742323905,5.092177634624392,0.0,86.56701978861466,0.424178545897159,0.007286632689417668,56.69
2024-03-21 18:00:00,65.41124510709676,3.6339580615053753,0.0,61.777287045591386,0.2593874149748857,0.005199998802651961,64.03
2024-03-21 19:00:00,53.424763627241234,2.968042423735624,0.0,50.45672120350561,0.1769923149362661,0.004247109291969092,68.49
2024-03-21 20:00:00,21.246110786370657,1.180339488131703,0.0,20.065771298238953,0.11100952244820167,0.0016890024103539331,72.59
2024-03-21 21:00:00,36.63290296115387,2.035161275619659,0.0,34.59774168553421,0.10305090655509064,0.002912206474953622,73.12
2024-03-21 22:00:00,45.086649798343224,2.5048138776857347,0.0,42.58183592065749,0.11944444444444446,0.003584254123019842,18.0
2024-03-21 23:00:00,53.29481064801274,2.9608228137784853,0.0,50.33398783423426,0.18529411764705883,0.004236778417892581,17.0
2024-03-22 00:00:00,49.04410094543769,2.7246722747465384,0.0,46.31942867069115,0.15208690680388792,0.00389885968040912,17.49
2024-03-22 01:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,19.12
2024-03-22 02:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,20.4
2024-03-22 03:00:00,0.0,0.0,0.0,0.0,-0.01225490196078427,0.0,20.4
2024-03-22 04:00:00,0.0,0.0,0.0,0.0,-0.020447100641204335,0.0,82.3
